"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
1,0.827,121,2,3,4,22,"LA",1,-1,1,22,1,0,1,1,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,3,0,85,0,70,20,-1,-1,-1,-1,-1,1,2,1,2,2,3,-1,-1,-1,4,2,1,-1,7,3,29,3,1,4,1,1,2,1,3,135,2,9,22,21,0,21,1,1,-1
2,1.0806,123,1,1,1,5,"AR",1,-1,1,5,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,85,15,85,20,-1,-1,-1,-1,-1,1,1,1,2,1,3,-1,-1,-1,4,2,2,-1,6,2,26,3,1,4,1,1,2,1,2,880,8,13,17,3,0,3,1,2,-1
3,0.3878,121,1,4,4,28,"MS",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,2,4,50,60,50,50,20,-1,-1,-1,-1,-1,4,2,1,2,2,2,-1,-1,2,6,3,-1,3,3,3,23,2,1,-1,-2,-1,-1,-1,3,880,8,9,28,0,6,1,2,2,1
4,0.3596,118,1,3,2,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,2,-1,1,4,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,1,2,0,60,30,70,11,-1,-4,-4,-4,-4,1,2,1,2,1,-1,1,-1,1,7,0,-1,1,5,2,58,9,1,-1,1,-1,-1,-1,2,182,2,9,47,40,0,40,1,1,-1
5,0.647,113,2,3,3,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,20,-1,2,3,15,0,70,40,20,-1,-1,-1,-1,-1,2,1,1,1,1,-1,1,-1,3,5,3,-1,3,3,2,38,5,1,4,1,1,4,1,1,701,7,9,39,38,0,38,1,2,-1
6,0.7062,104,1,1,1,34,"NJ",1,-1,1,34,0,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,2,4,0,50,15,30,10,1,48,52,55,45,1,2,1,1,2,1,-1,1,-1,1,0,-1,1,5,2,60,10,1,4,1,1,2,-1,3,400,4,14,36,21,10,22,1,1,-1
7,3.9604,105,1,2,3,36,"NY",1,-1,1,36,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,85,0,85,15,20,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,2,58,9,2,4,1,1,1,1,1,10,5,5,59,11,0,11,1,1,-1
8,0.962,104,2,1,1,34,"NJ",1,-1,1,34,0,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,15,85,0,40,10,1,41,51,51,41,1,2,2,1,1,-1,1,-1,1,7,3,-1,2,4,1,56,9,1,4,1,1,2,-1,1,400,4,9,34,40,0,40,1,2,-1
9,0.9761,124,1,1,2,48,"TX",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,2,3,15,60,15,60,10,5,48,44,42,46,3,1,1,2,1,-1,1,-1,2,6,3,-1,1,5,2,45,7,6,-1,-2,-1,-1,-1,2,149,2,9,48,3,0,3,1,2,-1
10,0.6182,121,1,3,4,28,"MS",2,-1,1,28,0,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-1,-8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,60,50,50,50,20,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,-1,1,7,3,-1,3,3,3,30,4,1,4,1,1,3,-1,1,10,5,10,28,3,0,3,1,2,-1
