"","id_law","alt_party","poverty","case_id","state","therm_dem","therm_rep","V161361x...Pre.Income","V161361x...Pre.Income..group.","V162309x...Income","age","intent_vote","intent_vote_reg","age_grp","live_comm","race_new","income"
"1",1,"1","1",39,"MA",100,85,"5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,3,21,"1",13
"2",1,"1","1",198,"CO",70,30,"8","1: < 25k (Poverty family of 4)","-1: Missing","2: 35-50",1,3,3,3,"1",17
"3",1,"1","1",4019,"CA",60,0,"2","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",0,1,2,1,"1",6
"4",1,"1","1",4372,"AZ",100,2,"4","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",1,4,9,40,"1",20
"13",2,"1","1",3933,"OK",60,0,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","-1: Missing",1,3,4,1,"5",24
"14",1,"1","1",2262,"NJ",0,70,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","-1: Missing",1,3,11,40,"1",14
"15",1,"1","1",2501,"NY",15,0,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","-1: Missing",1,3,10,1,"1",10
"25",1,"0","1",2308,"CA",100,0,"3: 10-12","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",1,3,10,1,"6",13
"26",1,"0","1",2976,"MA",30,0,"1: <5","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",0,1,4,1,"4",9
"27",1,"0","1",3539,"CA",60,0,"4","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",0,1,11,2,"1",-9
"29",3,"1","1",3723,"FL",0,0,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","-1: Missing",1,3,12,30,"1",17
"30",3,"1","1",262,"LA",70,70,"3: 10-12","1: < 25k (Poverty family of 4)","-1: Missing","2: 35-50",1,4,11,40,"1",22
"31",3,"1","1",986,"LA",60,50,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,5,12,"1",22
"32",3,"1","1",989,"LA",85,40,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,10,40,"1",24
"33",3,"1","1",2367,"LA",69,7,"5","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",1,3,12,12,"1",-9
"34",3,"1","1",3504,"AR",85,16,"5","1: < 25k (Poverty family of 4)","-1: Missing","-1: Missing",1,3,11,11,"1",17
"35",3,"1","1",4085,"AR",100,0,"2","1: < 25k (Poverty family of 4)","-6: Missing","-1: Missing",0,3,6,5,"1",11
"36",2,"1","1",50,"NC",70,40,"1: <5","1: < 25k (Poverty family of 4)","-6: Missing","3: 51-64",1,3,11,3,"1",6
"37",2,"1","1",311,"NC",60,50,"2","1: < 25k (Poverty family of 4)","-1: Missing","4: 65+",1,2,9,8,"1",7
"38",2,"1","1",349,"NC",100,0,"2","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,8,40,"1",21
"39",2,"1","1",606,"NC",85,50,"7:20-22,5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,7,3,"5",5
"40",2,"1","1",651,"OK",50,0,"7:20-22,5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,3,9,"2",21
"41",2,"1","1",800,"NC",100,0,"2","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,4,-2,12,"1",-9
"42",2,"1","1",900,"NC",100,0,"1: <5","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,3,2,"1",9
"43",2,"1","1",902,"NC",50,0,"5","1: < 25k (Poverty family of 4)","-1: Missing","4: 65+",1,3,7,21,"2",19
"44",2,"1","1",1111,"NC",85,0,"3: 10-12","1: < 25k (Poverty family of 4)","-1: Missing","3: 51-64",1,3,9,23,"1",14
"45",2,"1","1",1130,"NC",85,60,"5","1: < 25k (Poverty family of 4)","-1: Missing","4: 65+",1,3,5,10,"1",14
"46",2,"1","1",1163,"NC",100,0,"2","1: < 25k (Poverty family of 4)","-6: Missing","3: 51-64",1,3,8,30,"1",26
